	methods
2434	Statistical consultant
2435	Statistical dispersion
2436	Statistical distance
2437	Statistical efficiency
2438	Statistical epidemiology
2439	Statistical estimation
2440	Statistical finance
2441	Statistical genetics
2442	Statistical geography
2443	Statistical graphics
2444	Statistical hypothesis testing
2445	Statistical independence
2446	Statistical inference
2447	Statistical interference
2448	Statistical learning theory
2449	Statistical literacy
2450	Statistical model
2451	Statistical noise
2452	Statistical parameter
2453	Statistical parametric mapping
2454	Statistical parsing
2455	Statistical population
2456	Statistical power
2457	Statistical probability
2458	Statistical process control
2459	Statistical proof
2460	Statistical randomness
2461	Statistical regularity
2462	Statistical relational learning
2463	Statistical sample
2464	Statistical semantics
2465	Statistical shape analysis
2466	Statistical signal processing
2467	Statistical significance
2468	Statistical survey
2469	Statistical syllogism
2470	Statistical theory
2471	Statistical unit
2472	Statisticians' and engineers' cross-reference of statistical terms
2473	Statistics
2474	Statistics Online Computational Resource
2475	Statistics education
2476	Stein's example
2477	Stein's lemma
2478	Stein's unbiased risk estimate
2479	Steiner system
2480	Stem-and-leaf display
2481	Step detection
2482	Stepwise regression
2483	Stieltjes moment problem
2484	Stimulus-response model
2485	Stochastic
2486	Stochastic approximation
2487	Stochastic calculus
2488	Stochastic convergence
2489	Stochastic differential equation
2490	Stochastic dominance
2491	Stochastic drift
2492	Stochastic equicontinuity
2493	Stochastic gradient descent
2494	Stochastic grammar
2495	Stochastic investment model
2496	Stochastic kernel estimation
2497	Stochastic matrix
2498	Stochastic modelling (insurance)
2499	Stochastic optimization
2500	Stochastic ordering
2501	Stochastic process
2502	Stochastic rounding
2503	Stochastic simulation
2504	Stopped process
2505	Stopping time
2506	Stratified sampling
2507	Stratonovich integral
2508	Streamgraph
2509	Stress majorization
2510	Strong Law of Small Numbers
2511	Strong prior
2512	Structural break
2513	Structural equation modeling
2514	Structural estimation
2515	Structured data analysis (statistics)
2516	Student's t-distribution
2517	Student's t-statistic
2518	Student's t-test
2519	Studentization
2520	Studentized range
2521	Studentized residual
2522	Study design
2523	Study heterogeneity
2524	Subcontrary mean
2525	Subgroup analysis
2526	Subindependence
2527	Substitution model
2528	Sufficient dimension reduction
2529	Sufficient statistic
2530	Sum of normally distributed random variables
2531	Sum of squares (disambiguation)
2532	Summary statistic
2533	Support curve
2534	Support vector machine
2535	Surrogate model
2536	Survey data collection
2537	Survey methodology
2538	Survey sampling
2539	Survival analysis
2540	Survival function
2541	Survival rate
2542	Survivorship bias
2543	Symmetric design
2544	Symmetric mean absolute percentage error
2545	System dynamics
2546	System identification
2547	Systematic error
2548	Systematic review
2549	Systematic sampling
2550	Sørensen similarity index
2551	T-statistic
2552	TPL Tables
2553	Student's t-distribution
2554	Tag cloud
2555	Taguchi loss function
2556	Taguchi methods
2557	Tajima's D
2558	Taleb distribution
2559	Tampering (quality control)
2560	Taylor's law
2561	Taylor expansions for the moments of functions of random variables
2562	Telegraph process
2563	Teletraffic queuing theory
2564	Test for structural change
2565	Test score
2566	Test set
2567	Test statistic
2568	Testimator
2569	Testing hypotheses suggested by the data
2570	Test–retest reliability
2571	Text analytics
2572	The Design of Experiments
2573	The Long Tail
2574	The Unscrambler
2575	Theil index
2576	Theil–Sen estimator
2577	Theory of conjoint measurement
2578	Therapeutic effect
2579	Thompson sampling
2580	Three-point estimation
2581	Three-stage least squares
2582	Threshold model
2583	Thurstone scale
2584	Thurstonian model
2585	Tikhonov regularization
2586	Time-series regression
2587	Time-varying covariate
2588	Time domain
2589	Time reversibility
2590	Time series
2591	Time use survey
2592	Timeline of probability and statistics
2593	Time–frequency analysis
2594	Time–frequency representation
2595	TinkerPlots
2596	Tobit model
2597	Tolerance interval
2598	Top-coded
2599	Topic model
2600	Topological data analysis
2601	Tornqvist index
2602	Total correlation
2603	Total least squares
2604	Total sum of squares
2605	Total survey error
2606	Total variation distance of probability measures
2607	Tracy–Widom distribution
2608	Traffic equations
2609	Training set
2610	Transect
2611	Transferable belief model
2612	Transiogram
2613	Transition rate matrix
2614	Transmission risks and rates
2615	Treatment and control groups
2616	Trend analysis
2617	Trend estimation
2618	Trend stationary
2619	Treynor ratio
2620	Triangular distribution
2621	Trimean
2622	Trimmed estimator
2623	Trispectrum
2624	True experiment
2625	True variance
2626	Truncated distribution
2627	Truncated mean
2628	Truncated normal distribution
2629	Truncated regression model
2630	Truncation (statistics)
2631	Tsallis distribution
2632	Tsallis statistics
2633	Tschuprow's T
2634	Tucker decomposition
2635	Tukey's range test
2636	Tukey's test of additivity
2637	Tukey lambda distribution
2638	Tukey median
2639	Tukey–Duckworth test
2640	Tukey–Kramer method
2641	Tweedie distribution
2642	Twisting properties
2643	Two-tailed test
2644	Two-way analysis of variance
2645	Two stage least squares
2646	Type-1 Gumbel distribution
2647	Type-2 Gumbel distribution
2648	Type I and type II errors
2649	Tyranny of averages
2650	U-chart
2651	U-quadratic distribution
2652	U-statistic
2653	U test
2654	Umbrella sampling
2655	Unbiased estimation of standard deviation
2656	Uncertainty
2657	Uncertainty coefficient
2658	Uncertainty quantification
2659	Uncomfortable science
2660	Uncorrelated
2661	Underdispersion
2662	Underprivileged area score
2663	Understanding the patterns in Big Data 'dark matter' with GT data mining
2664	Unevenly spaced time series
2665	Uniform distribution (continuous)
2666	Uniform distribution (discrete)
2667	Uniformly most powerful test
2668	Unimodal distribution
2669	Unimodal function
2670	Unimodality
2671	Unistat
2672	Unit-weighted regression
2673	Unit (statistics)
2674	Unit of observation
2675	Unit root
2676	Unit root test
2677	Unitized risk
2678	Univariate
2679	Univariate analysis
2680	Univariate distribution
2681	Unmatched count
2682	Unseen species problem
2683	Unsolved problems in statistics
2684	Upper and lower probabilities
2685	Upside potential ratio
2686	Urn problem
2687	Ursell function
2688	Utility maximization problem
2689	Utilization distribution
2690	V-optimal histograms
2691	V-statistic
2692	VC dimension
2693	VC theory
2694	VEGAS algorithm
2695	Validity (statistics)
2696	Van Houtum distribution
2697	Van der Waerden test
2698	Vapnik–Chervonenkis theory
2699	Varadhan's lemma
2700	Variable-order Bayesian network
2701	Variable-order Markov model
2702	Variable (mathematics)
2703	Variable kernel density estimation
2704	Variable rules analysis
2705	Variance
2706	Variance-gamma distribution
2707	Variance-stabilizing transformation
2708	Variance-to-mean ratio
2709	Variance decomposition of forecast errors
2710	Variance gamma process
2711	Variance inflation factor
2712	Variance reduction
2713	Variation ratio
2714	Variational Bayesian methods
2715	Variational message passing
2716	Varimax rotation
2717	Variogram
2718	Vasicek model
2719	Vector autoregression
2720	ViSta, The Visual Statistics system
2721	Violin plot
2722	Voigt profile
2723	Volatility (finance)
2724	Volcano plot (statistics)
2725	Von Mises distribution
2726	Von Mises–Fisher distribution
2727	Vuong's closeness test
2728	Vysochanskiï–Petunin inequality
2729	Wait list control group
2730	Wald distribution
2731	Wald test
2732	Wald–Wolfowitz runs test
2733	Wallenius' noncentral hypergeometric distribution
2734	Wang and Landau algorithm
2735	Ward's method
2736	Watterson estimator
2737	Watts and Strogatz model
2738	Wavelet
2739	Weibull chart
2740	Weibull distribution
2741	Weibull modulus
2742	Weight function
2743	Weighted covariance matrix
2744	Weighted mean
2745	Weighted median
2746	Weighted sample
2747	Welch's method
2748	Welch's t test
2749	Welch–Satterthwaite equation
2750	Well-behaved statistic
2751	Whipple's index
2752	White noise
2753	White test
2754	Whittle likelihood
2755	Wick product
2756	Wide and narrow data
2757	Wiener deconvolution
2758	Wiener filter
2759	Wiener process
2760	Wigner quasi-probability distribution
2761	Wigner semicircle distribution
2762	Wike's law of low odd primes
2763	Wilcoxon signed-rank test
2764	Wilks' lambda distribution
2765	Wilks' theorem
2766	Will Rogers phenomenon
2767	WinBUGS
2768	Window function
2769	Winpepi
2770	Winsorising
2771	Winsorized mean
2772	Wishart distribution
2773	Wold's theorem
2774	Wombling
2775	Working–Hotelling procedure
2776	World Programming System
2777	Wrapped Cauchy distribution
2778	Wrapped Lévy distribution
2779	Wrapped distribution
2780	Wrapped exponential distribution
2781	Wrapped normal distribution
2782	Writer invariant
2783	X-12-ARIMA
2784	X-bar chart
2785	XLispStat
2786	Xbar and R chart
2787	Xbar and s chart
2788	XploRe
2789	Yamartino method
2790	Yates's correction for continuity
2791	Yates analysis
2792	Youden's J statistic
2793	Yule–Simon distribution
2794	Z-factor
2795	Z-score
2796	Z-test
2797	Z-transform
2798	Z score
2799	Z statistic
2800	Zakai equation
2801	Zelen's design
2802	Zero degrees of freedom
2803	Zero–one law (disambiguation)
2804	Zeta distribution
2805	Ziggurat algorithm
2806	Zipf's law
2807	Zipf–Mandelbrot law
2808	Łukaszyk–Karmowski metric
